task_id,condition,prompt_artifact_path,prompt_sha256,prompt_length,frozen_fingerprint,exact_text_available
ce112_q01_negative_integer_power,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q01_negative_integer_power__ab2d__seed_2026071301/prompt.txt,a03c40a37de8c5652476da0fcd76dfc714ca55c19b0279b0452358c81ccde8d4,1419,ce112_q01_negative_integer_power__ab2d__seed_2026071301,True
ce112_q01_negative_integer_power,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q01_negative_integer_power__ab2d_spec_v2__seed_2026071301/prompt.txt,1aa4f2a789b546a5f81f4a773db6c783edb359f5fbbc3c21966853d57db6a61b,2342,ce112_q01_negative_integer_power__ab2d_spec_v2__seed_2026071301,True
ce112_q04_radical_simplification,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q04_radical_simplification__ab1__seed_2026071301/prompt.txt,f696edca9ba89d8daf6ae0a01bef98c0098c508517ba9d6e631b287fa5764d53,600,ce112_q04_radical_simplification__ab1__seed_2026071301,True
ce112_q04_radical_simplification,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q04_radical_simplification__ab2g__seed_2026071301/prompt.txt,6d252e1058c14eee07326788693fec710a5247c404e7dd74f3d22156235a82f4,957,ce112_q04_radical_simplification__ab2g__seed_2026071301,True
ce112_q04_radical_simplification,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q04_radical_simplification__ab2d__seed_2026071301/prompt.txt,f4766019ab80cfea7d15b358786ad841f542d8cd57b9dd61f4e7098712dba731,1542,ce112_q04_radical_simplification__ab2d__seed_2026071301,True
ce112_q04_radical_simplification,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q04_radical_simplification__ab2d_spec_v2__seed_2026071301/prompt.txt,14468d40af33b62b0c252bc11861baed124b1313d69a77fa4907ba256e91c080,2705,ce112_q04_radical_simplification__ab2d_spec_v2__seed_2026071301,True
ce112_q09_divisor_multiple_intersection,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab1__seed_2026071301/prompt.txt,7eafd0610772ae6f3576a2d7d24017b28f0195d01e3b713feb8a6b629a79148e,648,ce112_q09_divisor_multiple_intersection__ab1__seed_2026071301,True
ce112_q09_divisor_multiple_intersection,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2g__seed_2026071301/prompt.txt,8465217dde30310c3f927c2ec00e152e065f40c5508cd0339ae46a541c19496e,1005,ce112_q09_divisor_multiple_intersection__ab2g__seed_2026071301,True
ce112_q09_divisor_multiple_intersection,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2d__seed_2026071301/prompt.txt,f4d5abe47b1d3dad2095dbc473b4f58b6f1c8cd4f9ece0ba8a1de9f5c68ad5cb,1478,ce112_q09_divisor_multiple_intersection__ab2d__seed_2026071301,True
ce112_q09_divisor_multiple_intersection,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2d_spec_v2__seed_2026071301/prompt.txt,6ab35b719b39c1336e47f8fea3d373ec2482ad3f8d1c6979b192576090228035,2414,ce112_q09_divisor_multiple_intersection__ab2d_spec_v2__seed_2026071301,True
ce112_q12_independent_probability_fraction,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q12_independent_probability_fraction__ab1__seed_2026071301/prompt.txt,ce709937aef3026d48af8ea0b6eb6dbc53d0c07731b232df03b0657672d7d74c,665,ce112_q12_independent_probability_fraction__ab1__seed_2026071301,True
ce112_q12_independent_probability_fraction,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q12_independent_probability_fraction__ab2g__seed_2026071301/prompt.txt,d68af74fd5f59ae1178e9835684479397bd58a2b1f31fd9ef7b022e34b96fcf1,1022,ce112_q12_independent_probability_fraction__ab2g__seed_2026071301,True
ce112_q12_independent_probability_fraction,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q12_independent_probability_fraction__ab2d__seed_2026071301/prompt.txt,e0ceba6ddea69db946947e44372f0667b4445539f11857bbafa275c518a9506a,1614,ce112_q12_independent_probability_fraction__ab2d__seed_2026071301,True
ce112_q12_independent_probability_fraction,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q12_independent_probability_fraction__ab2d_spec_v2__seed_2026071301/prompt.txt,183c3a708e2a1361e9ccd41de1cb33c51bb169b1f6b7cd99d874f98aa23ada51,3756,ce112_q12_independent_probability_fraction__ab2d_spec_v2__seed_2026071301,True
ce113_q01_negative_fraction_subtraction,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab1__seed_2026071301/prompt.txt,d690b208e09d5f893ecd8b8abc38b4abb7d044968dc42c60dde3de96c0ad410d,661,ce113_q01_negative_fraction_subtraction__ab1__seed_2026071301,True
ce113_q01_negative_fraction_subtraction,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026071301/prompt.txt,b0fe97bca3b7957bb481e88060e49681e6c7ccd67ff19c2eaf13d3ec47559a0b,1018,ce113_q01_negative_fraction_subtraction__ab2g__seed_2026071301,True
ce113_q01_negative_fraction_subtraction,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2d__seed_2026071301/prompt.txt,0fe4bd752d3760f08b8977916ba6edb99a7babd6cc53752bb9d80a684c8514f7,1610,ce113_q01_negative_fraction_subtraction__ab2d__seed_2026071301,True
ce113_q01_negative_fraction_subtraction,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2d_spec_v2__seed_2026071301/prompt.txt,319926943ccbc9ca260979e04cf024cc1d896f00bc3e6be23e7b9632170ca54a,3744,ce113_q01_negative_fraction_subtraction__ab2d_spec_v2__seed_2026071301,True
